branch_id,business_id,category,branch_type,committed_at,w7_order_count,w7_revenue_total,w7_revenue_per_day,w7_cancel_rate,w7_blocked_rate,w7_restock_count,w7_price_change_count,w7_avg_price_change_pct,w7_latest_cash_balance,w7_cash_trend,w7_inventory_trend,w7_weighted_order_count,w30_order_count,w30_revenue_total,w30_revenue_per_day,w30_cancel_rate,w30_blocked_rate,w30_restock_count,w30_price_change_count,w30_avg_price_change_pct,w30_latest_cash_balance,w30_cash_trend,w30_inventory_trend,w30_weighted_order_count,w90_order_count,w90_revenue_total,w90_revenue_per_day,w90_cancel_rate,w90_blocked_rate,w90_restock_count,w90_price_change_count,w90_avg_price_change_pct,w90_latest_cash_balance,w90_cash_trend,w90_inventory_trend,w90_weighted_order_count,month_sin,month_cos,day_of_week_sin,day_of_week_cos,week_of_month_sin,week_of_month_cos,days_to_peak,days_to_peak_sin,days_to_peak_cos,is_peak_month,is_weekend,quarter,mag_price_change_pct,mag_restock_qty_norm,mag_restock_cost_norm,mag_discount_pct,mag_contract_norm,mag_new_skus,mag_terms_delta_days,mag_supplier_cost_pct,deviation_from_norm,history_depth_days,n_past_price_changes,hist_avg_price_change,cat_retail,cat_apparel,cat_b2b,bt_price_increase,bt_price_decrease,bt_bulk_restock,bt_promo_event,bt_new_collection,bt_markdown,bt_contract_change,bt_net_terms_change,bt_volume_discount,bt_supplier_change,label_inventory_delta,label_cashflow_delta,label_order_velocity_delta
4243c729-0768-40f3-83c4-73cd0aabc9e7,721a9a33-74e4-4436-a723-41dd03a717fa,retail,price_decrease,2026-06-27T00:00:00,29,1.260218,1.260218,0.0345,0.3095,2,0,0.0,1.0,0.0,-24.75,27.457,69,0.694849,0.694849,0.0725,0.7356,4,1,-10.72,1.0,-0.002872,2.5862,50.4244,239,1.0,1.0,0.046,0.7218,14,2,-9.875,1.0,0.003288,-0.4091,96.7817,0.0,-1.0,-0.974928,-0.222521,-1.0,-0.0,150,-0.893346,0.44937,0,1,2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.11,299,6,-0.29,1,0,0,0,1,0,0,0,0,0,0,0,0,-3.32,-44.39,6.47
b8b673a4-1fcf-43fc-b800-7efc744dff33,85cafa58-94ab-42cc-9dd8-9e8b0ba83d49,retail,price_decrease,2026-05-13T00:00:00,18,0.811667,0.811667,0.0,0.75,1,0,0.0,1.0,0.0,-9.0,17.5362,85,0.966638,0.966639,0.0471,0.7128,4,1,12.13,1.0,0.001248,-3.8966,60.0771,269,1.0,1.0,0.0483,0.705,13,2,2.525,1.0,0.001246,-0.4235,109.6414,0.5,-0.866025,0.974928,-0.222521,1.0,0.0,150,-0.893346,0.44937,0,0,2,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.656,254,5,4.856,1,0,0,0,1,0,0,0,0,0,0,0,0,-7.24,68.03,12.32
53ba7a8a-d4e1-4cf9-953a-2708da195ef7,73479d8f-f74f-4843-ba96-243fd56c906a,retail,bulk_restock,2026-02-24T00:00:00,35,1.985652,1.985652,0.0571,0.4167,1,0,0.0,1.0,0.0,-25.4,30.9745,87,1.168109,1.168109,0.0345,0.6813,5,0,0.0,1.0,0.005625,0.0,65.2412,224,1.0,1.0,0.0491,0.7726,13,2,-1.445,1.0,0.004063,-0.2727,110.686,0.866025,0.5,0.781831,0.62349,-1.0,-0.0,60,0.877303,-0.479937,0,0,1,0.0,0.438,0.1713,0.0,0.0,0.0,0.0,0.0,0.3055,176,3,0.3667,1,0,0,0,0,1,0,0,0,0,0,0,0,194.34,-6890.94,6.2
fa10fc41-ad23-42c3-860f-af11565efa5b,73479d8f-f74f-4843-ba96-243fd56c906a,retail,price_decrease,2026-03-15T00:00:00,0,0.0,0.0,0.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,97,1.076209,1.076209,0.0309,0.6667,4,1,-9.47,1.0,0.007675,-8.0952,66.9066,259,1.0,1.0,0.0463,0.7182,12,2,-1.305,1.0,0.004216,0.0,112.0347,1.0,0.0,-0.781831,0.62349,0.0,-1.0,90,0.034516,-0.999404,0,1,1,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.7075,195,4,-2.0925,1,0,0,0,1,0,0,0,0,0,0,0,0,-4.92,-817.25,9.98
a359b573-891c-4ad7-903d-d21fb7a7e76a,9090dc5d-4765-47ec-a40b-cfa025064f4c,retail,bulk_restock,2026-07-28T00:00:00,32,1.528884,1.528884,0.0625,0.5077,1,0,0.0,1.0,0.0,-23.5,28.3428,84,0.972626,0.972626,0.0476,0.6818,5,1,-0.47,1.0,0.00132,0.0,62.379,250,1.0,1.0,0.04,0.7059,13,2,-6.71,1.0,0.002911,-0.0112,106.5897,-0.5,-0.866025,0.781831,0.62349,-1.0,-0.0,120,-0.842101,-0.53932,0,0,3,0.0,0.58,0.3703,0.0,0.0,0.0,0.0,0.0,0.3963,330,7,5.1743,1,0,0,0,0,1,0,0,0,0,0,0,0,237.05,-13412.93,5.17
fa6c7ce2-e752-403d-9d3b-22e53bde9ef7,75c1ac2f-9309-4291-80a1-a35075f62807,retail,bulk_restock,2026-02-08T00:00:00,42,2.012583,2.012583,0.0476,0.3913,2,0,0.0,1.0,0.0,-31.8,38.2374,80,0.867449,0.867449,0.0375,0.7203,4,1,-6.88,1.0,0.001183,-1.6552,59.5311,257,1.0,1.0,0.0389,0.7524,13,2,-6.485,1.0,0.00089,-0.0112,109.2594,0.866025,0.5,-0.781831,0.62349,1.0,0.0,60,0.877303,-0.479937,0,1,1,0.0,0.884,0.5368,0.0,0.0,0.0,0.0,0.0,1.5752,160,3,-7.5167,1,0,0,0,0,1,0,0,0,0,0,0,0,433.2,-18659.39,1.93
326180ab-9214-4c8b-a936-8caa8db5b4f2,cc37d8ba-20ae-417b-bdd8-e1f18131dd8e,retail,bulk_restock,2025-12-24T00:00:00,23,0.958614,0.958614,0.1304,0.789,2,0,0.0,1.0,0.0,-37.0,22.5136,122,1.159829,1.159829,0.041,0.7088,5,1,-10.24,1.0,0.004596,-7.4483,82.9959,295,1.0,1.0,0.0542,0.7323,14,2,-7.07,1.0,0.003389,-1.7765,124.5312,-0.0,1.0,0.974928,-0.222521,-1.0,-0.0,0,0.0,1.0,1,0,4,0.0,0.506,0.2684,0.0,0.0,0.0,0.0,0.0,0.223,114,2,-7.07,1,0,0,0,0,1,0,0,0,0,0,0,0,270.53,-10693.03,7.0
e4f9b770-18f5-48e1-a9c4-00ac82f49289,34765006-bbb1-4c8d-a908-9334756c3e44,retail,promo_event,2026-03-05T00:00:00,18,1.020689,1.020689,0.0556,0.7049,1,1,12.74,1.0,0.0,-38.5,17.6054,110,1.198693,1.198693,0.0364,0.6346,4,1,12.74,1.0,-0.002506,0.6552,75.3174,262,1.0,1.0,0.0344,0.7414,13,2,6.91,1.0,0.00289,1.3488,115.006,1.0,0.0,0.433884,-0.900969,0.0,1.0,90,0.034516,-0.999404,0,0,1,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,26.8,185,4,2.2075,1,0,0,0,0,0,1,0,0,0,0,0,0,-28.93,1020.94,43.77
14faed42-b85a-4a3c-ad57-c831795350ad,1f323311-283c-4274-a650-8ff4f8db3e20,retail,promo_event,2026-08-11T00:00:00,41,2.434232,2.434232,0.0488,0.2931,1,0,0.0,1.0,0.0,-36.6,37.1578,102,1.450769,1.450769,0.049,0.5802,4,1,3.79,1.0,0.004365,0.0357,77.5778,221,1.0,1.0,0.0769,0.7278,13,2,7.105,1.0,0.002179,-0.9205,107.1291,-0.866025,-0.5,0.781831,0.62349,1.0,0.0,90,0.034516,-0.999404,0,0,3,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,15.1,344,7,7.5914,1,0,0,0,0,0,1,0,0,0,0,0,0,-25.63,1294.86,27.07
51387ca8-d3b5-4e98-b04e-f22858e64d0d,1f323311-283c-4274-a650-8ff4f8db3e20,retail,promo_event,2026-03-06T00:00:00,24,1.717285,1.717285,0.0417,0.5556,2,1,9.82,1.0,0.0,-32.6667,23.0393,55,0.780961,0.780961,0.0364,0.7852,5,1,9.82,1.0,-0.002552,4.1724,41.5596,222,1.0,1.0,0.0315,0.7723,14,2,9.115,1.0,0.003274,-0.4023,86.8434,1.0,0.0,-0.433884,-0.900969,0.0,1.0,90,0.034516,-0.999404,0,0,1,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,14.4,186,4,8.8525,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.94,1025.9,30.76
